"turn","mode","anchor","batch_htsn_combined","batch_new_nodes","batch_new_edges","raw_batch_reward","effective_fewa_reward","evaluation_node_precision","evaluation_node_recall","evaluation_edge_pair_precision","evaluation_edge_pair_recall","evaluation_node_tsc_rank","evaluation_edge_tsc_rank"
63,"exploit","TNM STAGING",0.04942348008385745,16,4,0.005791814072327045,0.005791814072327045,0.8473988439306358,0.6222410865874364,0.9992163009404389,0.4185817465528562,0.7040060907510023,0.41855192156664073
64,"exploit","BIOPSY",0.3484438586755456,9,25,0.0462776999803459,0.0462776999803459,0.8489702517162472,0.629881154499151,0.9984627209838586,0.42646093237032173,0.7134051327019386,0.4268562100859551
65,"exploit","CLL",0.12545644235785078,12,20,0.03160914270344287,0.03160914270344287,0.8510158013544018,0.6400679117147708,0.9984859954579863,0.433026920551543,0.7193136944137477,0.4333621059873473
66,"exploit","CANCER PROGRESSION",0.3465061655901351,7,45,0.08798008110687024,0.0,0.8521836506159015,0.6460101867572157,0.9787701317715959,0.43893630991464216,0.7287742067359652,0.43968852889835647
67,"exploit","NEUROPATHOLOGIST",0.03271651560926485,4,2,0.0038339666729607248,0.0038339666729607248,0.8528428093645485,0.6494057724957555,0.9788011695906432,0.4395929087327643,0.7326660959056263,0.440332250899578
68,"exploit","DEFICIENT MISMATCH REPAIR",0.015004940968429813,0,1,0.0016997784690799397,0.0016997784690799397,0.8528428093645485,0.6494057724957555,0.9780861943024105,0.4395929087327643,0.7326660959056263,0.440332250899578
69,"exploit","FEVER",0.06041997218467806,5,5,0.009086597379336349,0.009086597379336349,0.8536585365853658,0.6536502546689303,0.9781659388646288,0.4412344057780696,0.7356774034915143,0.4420489955159225
70,"exploit","RISK ASSESSMENT",0.055018341694988405,2,6,0.011927804547155689,0.011927804547155689,0.8539823008849557,0.6553480475382003,0.9782608695652174,0.443204202232436,0.737302294992606,0.4441352164160406
71,"exploit","COLONOSCOPY",0.07136194029850747,39,9,0.015610424440298509,0.015610424440298509,0.8218451749734889,0.6578947368421053,0.978401727861771,0.4461588969139856,0.7400677210933699,0.447207623084744
72,"explore",,0.0,1,0,0.0,,0.8209745762711864,0.6578947368421053,0.978401727861771,0.4461588969139856,0.7400677210933699,0.447207623084744
73,"exploit","UPPER URINARY TRACT CANCER",0.1760279779567613,9,24,0.040912752689169135,0.040912752689169135,0.8226652675760755,0.66553480475382,0.9787685774946921,0.4540380827314511,0.7430575510796539,0.45521126382254884
74,"exploit","COMPLETE BLOOD COUNT AND DIFFERENTIAL",0.0,0,0,0.0,0.0,0.8226652675760755,0.66553480475382,0.9787685774946921,0.4540380827314511,0.7430575510796539,0.45521126382254884
75,"exploit","FOLLOW-UP TESTING",0.20534709533777812,13,29,0.04852929401537334,0.04852929401537334,0.8188405797101449,0.6714770797962648,0.9791955617198336,0.46355876559422193,0.7504414017022081,0.46492966520656653
